ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
131,lounge,51,4292,112400,1,45.70610046,11.80737019,5000,lounge 51,6,4401.513471,17400.9305,1
132,lounge,51,366,18590,1,40.39588928,18.12977982,10900,lounge 51,6,476.5256691,4281.646524,1
133,sport,51,3988,175000,1,45.7012291,8.812990189,4800,sport 51,5,8894.514219,26271.21632,1
134,lounge,51,701,22700,1,45.7768898,9.306159973,10250,lounge 51,6,808.0830498,4823.297579,1
135,pop,51,1096,50000,1,40.92166901,14.19626999,9500,pop 51,3,1203.117939,8672.159706,1
136,lounge,62,3470,110000,1,40.83581161,14.50440979,4990,lounge 62,6,8578.340221,16940.47717,1
137,pop,51,1400,49000,1,45.60689163,9.306619644,8200,pop 51,3,1506.913511,8386.987644,1
138,lounge,51,790,34012,1,45.43878937,10.76424026,10550,lounge 51,6,898.2030296,6495.029004,1
139,lounge,51,1155,53589,1,45.23141098,9.592889786,8950,lounge 51,6,1261.824301,9115.117757,1
140,lounge,51,397,14431,1,41.83264923,12.75259972,9970,lounge 51,6,503.585249,3558.512178,1
141,lounge,51,2953,80000,1,45.58409119,9.270959854,6900,lounge 51,6,3059.855051,12852.12215,1
142,lounge,51,4169,81900,2,45.44327164,10.2302103,4900,lounge 51,6,9177.673482,13011.66764,0
143,lounge,51,3074,124100,2,45.52497864,9.522139549,6700,lounge 51,6,3182.047118,19140.86387,0
144,pop,51,1827,46000,1,45.66292953,11.60243034,7800,pop 51,3,1936.26536,7962.609337,1
145,lounge,74,4230,176000,1,42.92044067,13.83355045,4990,lounge 74,6,9351.753991,26479.53628,1
146,lounge,51,366,13124,1,45.72071838,7.321430206,10950,lounge 51,6,471.0421486,3507.148878,1
147,lounge,51,4018,152900,1,43.06753159,12.55154991,5500,lounge 51,6,4125.619082,23218.65987,1
148,lounge,51,762,15917,1,40.93085098,14.52859974,9900,lounge 51,6,869.4594507,3813.065636,1
149,sport,51,4383,74000,1,43.52069855,13.23808002,6900,sport 51,5,4491.758779,12199.39411,1
150,lounge,51,456,13215,1,39.29122162,16.25251389,9490,lounge 51,6,563.5437355,3324.791962,1
151,lounge,51,366,14732,1,45.74074173,12.23266983,9950,lounge 51,6,475.9734116,3594.710487,1
152,lounge,51,2892,67000,1,45.67483902,9.687859535,7900,lounge 51,6,2999.362699,11129.19467,1
153,lounge,51,790,39916,1,40.75220871,14.45341015,10279,lounge 51,6,897.2056189,7299.600803,1
154,lounge,51,397,13600,1,41.90322113,12.49565029,9970,lounge 51,6,503.3988714,3439.771267,1
155,lounge,51,701,21580,1,41.12586975,16.86665916,11090,lounge 51,6,810.9925289,4783.713218,1
156,lounge,51,3500,106000,1,41.27293015,16.41847038,5600,lounge 51,6,3609.691401,16459.24163,1
157,lounge,51,1858,35304,1,45.64609909,10.49915981,8000,lounge 51,6,1966.145259,6467.877894,1
158,lounge,51,4018,174000,1,42.92044067,13.83355045,5400,lounge 51,6,4126.753991,26218.822,1
159,lounge,51,1886,51786,1,40.78419113,14.36966991,7990,lounge 51,6,1993.153861,8824.879123,1
160,lounge,51,456,56779,1,45.43811035,12.31814957,10800,lounge 51,6,565.7562599,9735.679466,1
161,lounge,51,3409,70000,1,41.90322113,12.49565029,5800,lounge 51,6,3515.398871,11331.48555,1
162,pop,51,3409,56779,1,42.45336914,14.14037991,8700,pop 51,3,3517.593749,9856.941964,1
163,lounge,51,397,16755,1,39.29122162,16.25251389,9490,lounge 51,6,504.5437355,3822.077677,1
164,pop,51,701,48268,1,45.58409119,9.270959854,9000,pop 51,3,807.855051,8296.836436,1
165,pop,51,3531,97000,1,45.67483902,9.687859535,6500,pop 51,3,3638.362699,15305.7661,1
166,lounge,51,790,39916,1,41.90322113,12.49565029,10280,lounge 51,6,896.3988714,7299.62841,1
167,pop,51,3804,114000,1,45.60697174,9.629229546,4500,pop 51,3,8411.236201,17487.60517,1
168,lounge,51,397,15341,1,45.35776901,9.612210274,10950,lounge 51,6,503.9699793,3828.56714,1
169,lounge,51,3531,83000,1,40.63317108,17.63460922,5900,lounge 51,6,3641.26778,13220.8954,1
170,pop,51,2496,57200,1,41.90322113,12.49565029,7900,pop 51,3,2602.398871,9672.056982,1
171,lounge,51,2892,96685,1,40.69556046,14.48085022,5900,lounge 51,6,2999.176411,15084.16806,1
172,lounge,51,366,17272,1,38.12207031,13.36112022,11000,lounge 51,6,469.4831905,4106.640456,1
173,sport,51,4077,124000,1,41.15206146,15.08308983,4250,sport 51,5,8435.235151,18919.89074,1
174,lounge,51,731,24700,1,41.90322113,12.49565029,9450,lounge 51,6,837.3988714,4998.914124,1
